中原区,朝南温馨次卧带超大飘窗 超大空间 全新家具家电 可月付,帝湖西王府,面积：21.00㎡,"['楼层：4/34层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,飘窗,地址：桐柏路航海路交叉口向南100米路东,730
中原区,朝南主卧带阳台 超大空间 全新家具家电 可月付,帝湖西王府,面积：27.00㎡,"['楼层：4/34层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,飘窗,地址：桐柏路航海路交叉口向南100米路东,980
中原区,朝南主卧带独卫带阳台 超大空间 全新家具家电 可月付,帝湖西王府,面积：27.00㎡,"['楼层：4/34层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,独卫,地址：桐柏路航海路交叉口向南100米路东,1160
管城回族区,南三环地铁口 步行2分钟可达 朝南带阳台 全新家具家电,南刘庄新区二号院,面积：16.00㎡,"['楼层：20/30层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,飘窗,地址：郑州市管城回族区南三环紫荆山南路南刘庄新区二号院,900
管城回族区,南三环地铁口 步行2分钟可达 温馨次卧 全新家具家电 风格时尚,南刘庄新区二号院,面积：16.00㎡,"['楼层：20/30层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,,地址：郑州市管城回族区南三环紫荆山南路南刘庄新区二号院,800
管城回族区,南三环地铁口 步行2分钟可达 超大空间 朝南大阳台 全新家具家电,南刘庄新区二号院,面积：28.00㎡,"['楼层：20/30层', '朝向：南', '户型：4室1厅1厨2卫']",风格：欢乐颂,入住时间：立即入住,独卫,地址：郑州市管城回族区南三环紫荆山南路南刘庄新区二号院,1100
管城回族区,地铁口 福塔旁 朝南采光好  南北通透 全新家具家电,美景鸿城七里河小区,面积：20.00㎡,"['楼层：31/33层', '朝向：南', '户型：4室1厅1厨3卫']",风格：,入住时间：立即入住,,地址：航海路与腾飞路交汇南200米路东,880
管城回族区,地铁口 福塔旁 朝南带飘窗 采光好  全新家具家电,美景鸿城七里河小区,面积：26.00㎡,"['楼层：31/33层', '朝向：南', '户型：4室1厅1厨3卫']",风格：,入住时间：立即入住,,地址：航海路与腾飞路交汇南200米路东,1260
管城回族区,一站式广场附近 步行2分钟到地铁口 大飘窗 空间大 全新家具家电,宝景花园,面积：24.00㎡,"['楼层：3/6层', '朝向：南', '户型：10室2厅1厨3卫']",风格：普通,入住时间：立即入住,,地址：管城回族区航海东路20号,780
管城回族区,一站式广场附近 步行2分钟到地铁口 大飘窗 空间大 全新家具家电,宝景花园,面积：22.00㎡,"['楼层：3/6层', '朝向：南', '户型：10室2厅1厨3卫']",风格：普通,入住时间：立即入住,,地址：管城回族区航海东路20号,780
管城回族区,南三环地铁口，温馨次卧 光线好 家电齐全,南刘庄新区二号院,面积：20.00㎡,"['楼层：29/30层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,飘窗,地址：郑州市管城回族区南三环紫荆山南路南刘庄新区二号院,730
管城回族区,南三环地铁口 温馨次卧 新房首租 家电齐全 拎包入住,南刘庄新区二号院,面积：16.00㎡,"['楼层：11/30层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,,地址：郑州市管城回族区南三环紫荆山南路南刘庄新区二号院,730
管城回族区,南三环地铁口，大次卧带阳台 朝南光线好 家电齐全,南刘庄新区二号院,面积：15.00㎡,"['楼层：22/26层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,飘窗,地址：郑州市管城回族区南三环紫荆山南路南刘庄新区二号院,930
管城回族区,南三环地铁口 温馨次卧 新房首租 家电齐全 拎包入住,南刘庄新区二号院,面积：18.00㎡,"['楼层：16/30层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,飘窗,地址：郑州市管城回族区南三环紫荆山南路南刘庄新区二号院,730
管城回族区,地铁口 brt直达 可月付 采光好,紫楠小区,面积：20.00㎡,"['楼层：8/12层', '朝向：南', '户型：4室1厅1厨1卫']",风格：青春派,入住时间：立即入住,飘窗,地址：紫辰路与城南路路交叉口 向西200米路南,900
管城回族区,精装修  独立电表  临近地铁口   交通便利   可月付,永恒理想名苑,面积：16.00㎡,"['楼层：8/31层', '朝向：南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：管城回族区航海路紫荆山路西永恒理想名苑,760
管城回族区,零押金 美景鸿城 步行2分钟到地铁口 温馨次卧 全新家电 可做饭,美景鸿城,面积：13.00㎡,"['楼层：21/30层', '朝向：南', '户型：3室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：航海路中州大道交叉口向东200米,800
管城回族区,5号线地铁口 福塔旁 朝南带飘窗   采光好 适合居住,美景鸿城,面积：12.00㎡,"['楼层：3/30层', '朝向：南', '户型：5室2厅1厨2卫']",风格：柠檬树,入住时间：立即入住,飘窗,地址：航海路中州大道交叉口向东200米,880
经开区,,宏光合园,面积：11.00㎡,"['楼层：9/32层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：2019-05-06,,地址：郑州市经济开发区航海东路与第七大街交汇处东南角,760
惠济区,惠济万达！北大学城！精美次卧！温馨舒适!,木马嘉苑,面积：20.00㎡,"['楼层：24/28层', '朝向：北', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,1050
惠济区,惠济万达！北大学城！精美次卧！温馨舒适!,木马嘉苑,面积：18.00㎡,"['楼层：24/28层', '朝向：北', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,飘窗,地址：文化路与开元路交叉口向西200米路南,800
惠济区,惠济万达旁 精装单间 带阳台 购物便利 随时入住,木马嘉苑,面积：20.00㎡,"['楼层：6/32层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,1030
惠济区,惠济万达旁 精装单间 交通购物便利 随时入住,木马嘉苑,面积：16.00㎡,"['楼层：6/32层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,飘窗,地址：文化路与开元路交叉口向西200米路南,930
惠济区,惠济万达旁 精装单间 随时入住,木马嘉苑,面积：19.00㎡,"['楼层：6/32层', '朝向：南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,飘窗,地址：文化路与开元路交叉口向西200米路南,980
惠济区,惠济万达旁 精装主卧带阳台 随时入住,木马嘉苑,面积：28.00㎡,"['楼层：6/32层', '朝向：南', '户型：4室1厅1厨2卫']",风格：爱琴海,入住时间：立即入住,独卫,地址：文化路与开元路交叉口向西200米路南,1080
惠济区,木马嘉苑8号楼1单元501室D,木马嘉苑,面积：15.00㎡,"['楼层：5/25层', '朝向：南', '户型：4室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,1030
惠济区,木马嘉苑8号楼1单元501室A,木马嘉苑,面积：20.00㎡,"['楼层：5/25层', '朝向：南', '户型：4室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,1000
惠济区,木马嘉苑8号楼1单元501室B,木马嘉苑,面积：25.00㎡,"['楼层：5/25层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,独卫,地址：文化路与开元路交叉口向西200米路南,1300
惠济区,木马嘉苑2号楼2单元1812,木马嘉苑,面积：14.00㎡,"['楼层：18/25层', '朝向：南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,1060
惠济区,木马嘉苑2号楼2单元1812C,木马嘉苑,面积：12.00㎡,"['楼层：18/25层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,飘窗,地址：文化路与开元路交叉口向西200米路南,880
惠济区,木马嘉苑2号楼2单元1812B,木马嘉苑,面积：19.00㎡,"['楼层：18/25层', '朝向：南', '户型：4室1厅1厨2卫']",风格：爱琴海,入住时间：立即入住,独卫,地址：文化路与开元路交叉口向西200米路南,1280
惠济区,木马嘉苑4号楼1单元2504室D,木马嘉苑,面积：9.00㎡,"['楼层：25/26层', '朝向：南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,860
惠济区,木马嘉苑4号楼1单元2504室A,木马嘉苑,面积：13.00㎡,"['楼层：25/26层', '朝向：南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,1060
惠济区,8号楼1单元2301C,木马嘉苑,面积：15.00㎡,"['楼层：23/26层', '朝向：南', '户型：4室1厅1厨2卫']",风格：阳光橙,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,830
郑东新区,磨李社区 精装修 可短租 龙子湖高校区 紧邻局外太阁茂,磨李社区,面积：24.00㎡,"['楼层：5/26层', '朝向：南', '户型：4室1厅1厨1卫']",风格：,入住时间：立即入住,,地址：博学路与姚桥路交叉口磨李社区,830
郑东新区,磨李社区 高层带电梯 可短租 可月付 龙子湖大学城,磨李社区,面积：22.00㎡,"['楼层：5/26层', '朝向：南', '户型：4室1厅1厨1卫']",风格：,入住时间：立即入住,,地址：博学路与姚桥路交叉口磨李社区,830
郑东新区,磨李社区 精装带飘窗 龙子湖高校区 经贸职业技术学院旁,磨李社区,面积：26.00㎡,"['楼层：5/26层', '朝向：南', '户型：4室1厅1厨1卫']",风格：,入住时间：立即入住,,地址：博学路与姚桥路交叉口磨李社区,960
二七区,二七万达精装修三室整租,万千世纪城,面积：98.00㎡,"['楼层：8/34层', '朝向：南', '户型：3室1厅1厨1卫']",风格：,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,2530
二七区,黄金海岸+南三环+采光好,芙蓉花苑,面积：20.00㎡,"['楼层：19/33层', '朝向：南', '户型：4室1厅1厨1卫']",风格：,入住时间：立即入住,,地址：二七区长江路行云路交叉口向南300米路西,880
二七区,黄金海岸+南三环+大户型,芙蓉花苑,面积：20.00㎡,"['楼层：19/33层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：二七区长江路行云路交叉口向南300米路西,880
金水区,精装修 地铁口  拎包入住,海亮时代ONE,面积：21.00㎡,"['楼层：4/23层', '朝向：南', '户型：1室0厅1厨1卫']",风格：普通,入住时间：立即入住,独卫,地址：金水区花园路与宏康路交汇处西约700米,1550
金水区,地铁口 海亮时代 精装修 拎包入住 家具家电齐全,海亮时代ONE,面积：34.58㎡,"['楼层：12/23层', '朝向：东', '户型：1室0厅1厨1卫']",风格：普通,入住时间：立即入住,独卫,地址：金水区花园路与宏康路交汇处西约700米,1580
金水区,地铁口 海亮时代 精装修 拎包入住 家具家电齐全,海亮时代ONE,面积：34.87㎡,"['楼层：11/23层', '朝向：北', '户型：1室0厅1厨1卫']",风格：普通,入住时间：立即入住,独卫,地址：金水区花园路与宏康路交汇处西约700米,1700
中原区,黄金地段，出门就是地铁一号线，紧邻西元国际购物广场,金源第一城,面积：15.00㎡,"['楼层：3/6层', '朝向：南', '户型：3室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：秦岭路与建设路交叉口,830
中原区,【正商紫薇里】超大主卧【大学科技园附近】,正商紫薇里（高层）,面积：15.00㎡,"['楼层：3/14层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：电厂路五龙口南路向南300米,960
中原区,【正商紫薇里】超大阳台房 【大学科技园附近】,正商紫薇里（高层）,面积：16.00㎡,"['楼层：3/14层', '朝向：南', '户型：3室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：电厂路五龙口南路向南300米,830
中原区,【正商紫薇里】超大房主卧【大学科技园附近】,正商紫薇里（高层）,面积：15.00㎡,"['楼层：3/14层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：电厂路五龙口南路向南300米,800
郑东新区,龙子湖大学城，文苑北路地铁口，书香华府，朝南阳台,正商书香华府,面积：16.50㎡,"['楼层：7/28层', '朝向：南', '户型：5室1厅2厨1卫']",风格：青春派,入住时间：立即入住,,地址：郑东新区明理路与姚桥路交汇处向东800米路北,930
郑东新区,主卧独卫，龙子湖大学城，书香华府，文苑北路地铁口，明理路与姚桥路交叉口,正商书香华府,面积：23.00㎡,"['楼层：7/28层', '朝向：南', '户型：5室1厅2厨1卫']",风格：爱琴海,入住时间：立即入住,独卫,地址：郑东新区明理路与姚桥路交汇处向东800米路北,1300
郑东新区,龙子湖高校区旁 文苑北路地铁口附近 朝北精装次卧,时埂社区,面积：12.00㎡,"['楼层：5/7层', '朝向：南', '户型：3室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：郑州市金水区小夏街,730
郑东新区,郑州东站，绿地新都会，绿地中心旁，精装带阳台；悦如公寓,龙岗新城（贾岗社区）,面积：23.00㎡,"['楼层：16/27层', '朝向：南', '户型：3室1厅1厨1卫']",风格：,入住时间：立即入住,,地址：金水东路与107辅道交叉口东北角,980
郑东新区,郑州东站，绿地新都会，绿地中心旁；精装主卧朝南带飘窗，悦如公寓,龙岗新城（贾岗社区）,面积：23.00㎡,"['楼层：16/27层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：金水东路与107辅道交叉口东北角,1030
二七区,万达商圈 交通方便 家具全新 可做饭,珍景花园,面积：12.00㎡,"['楼层：15/32层', '朝向：南', '户型：5室1厅1厨1卫']",风格：,入住时间：立即入住,,地址：二七区大学路长江路交叉口往南100米路东,760
二七区,出门brt  万达商圈  上海华联商圈 交通方便 随时看,珍景花园,面积：26.00㎡,"['楼层：15/32层', '朝向：南', '户型：5室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：二七区大学路长江路交叉口往南100米路东,880
二七区,阳台房，空间大，悦如单间，无中介，可随时看房，两梯两户,仁恒上元,面积：15.65㎡,"['楼层：19/32层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,,地址：长江路与京广南路交叉口西南角50米处,800
二七区,人和路小学附近的极好房源,升龙世纪花园二区,面积：18.25㎡,"['楼层：6/34层', '朝向：东南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：大学路政通路东200米,960
二七区,【悦如公寓】二七万达 邻近地铁五号线 实拍主卧飘窗,万千世纪城,面积：14.80㎡,"['楼层：29/34层', '朝向：东南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,900
金水区,地铁口 海亮时代 精装修 拎包入住 家具家电齐全,海亮时代ONE,面积：35.48㎡,"['楼层：10/23层', '朝向：东', '户型：1室0厅1厨1卫']",风格：普通,入住时间：立即入住,独卫,地址：金水区花园路与宏康路交汇处西约700米,1580
金水区,地铁口 海亮时代 精装修 拎包入住 家具家电齐全,海亮时代ONE,面积：34.58㎡,"['楼层：18/23层', '朝向：东', '户型：1室0厅1厨1卫']",风格：普通,入住时间：立即入住,独卫,地址：金水区花园路与宏康路交汇处西约700米,1630
金水区,地铁口 海亮时代 精装修 拎包入住 家具家电齐全,海亮时代ONE,面积：40.66㎡,"['楼层：22/23层', '朝向：北', '户型：1室0厅1厨1卫']",风格：普通,入住时间：立即入住,独卫,地址：金水区花园路与宏康路交汇处西约700米,1800
金水区,地铁口 海亮时代 精装修 拎包入住 家具家电齐全,海亮时代ONE,面积：34.87㎡,"['楼层：11/23层', '朝向：北', '户型：1室0厅1厨1卫']",风格：普通,入住时间：立即入住,独卫,地址：金水区花园路与宏康路交汇处西约700米,1630
金水区,地铁口 海亮时代 精装修 拎包入住 家具家电齐全,海亮时代ONE,面积：34.58㎡,"['楼层：20/23层', '朝向：西', '户型：1室0厅1厨1卫']",风格：普通,入住时间：立即入住,独卫,地址：金水区花园路与宏康路交汇处西约700米,1630
中原区,【正商紫薇里】超大阳台房 【大学科技园附近】,正商紫薇里（高层）,面积：18.00㎡,"['楼层：12/14层', '朝向：南', '户型：3室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：电厂路五龙口南路向南300米,1100
中原区,精装房可月付 短租 拎包入住,绿都城,面积：25.00㎡,"['楼层：5/6层', '朝向：南', '户型：4室1厅1厨1卫']",风格：纽约故事,入住时间：立即入住,,地址：中原路与西环路交叉口向南50米路西,900
中原区,【紧邻碧沙岗地铁口】中原商贸城【鑫苑国际广场】五一公园,辉煌铭苑,面积：10.00㎡,"['楼层：19/30层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,,地址：中原区嵩山路与友爱路交叉口向西50米路北,860
中原区,【秦岭路地铁口】紧邻锦艺C区【出门就有BRT】朝南超大环形飘窗,惠众西城一品,面积：22.00㎡,"['楼层：28/33层', '朝向：南', '户型：4室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：中原区棉纺西路与秦岭路交汇处东北角,1000
中原区,【秦岭路地铁口】紧邻锦艺C区【出门就有BRT】朝南超大环形飘窗,惠众西城一品,面积：22.00㎡,"['楼层：28/33层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：中原区棉纺西路与秦岭路交汇处东北角,1160
高新区,悦如公寓】【精装全齐】温馨舒适大房间首租！实拍专属管家服务！,谦祥万和城D区,面积：18.00㎡,"['楼层：15/34层', '朝向：南', '户型：3室1厅1厨1卫']",风格：纽约故事,入住时间：立即入住,,地址：长椿路与莲花街交汇处北100米,800
高新区,悦如公寓】【精装全齐】温馨舒适大房间首租！实拍专属管家服务！,谦祥万和城D区,面积：15.00㎡,"['楼层：15/34层', '朝向：南', '户型：3室1厅1厨1卫']",风格：阳光橙,入住时间：立即入住,,地址：长椿路与莲花街交汇处北100米,700
郑东新区,姚夏路 杨兑桥社区高层 电梯房 朝南次卧 文苑北路地铁口,杨兑桥社区,面积：15.00㎡,"['楼层：16/25层', '朝向：南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：姚桥路与姚夏璐交叉口向北50米路东,930
郑东新区,文苑北路地铁口，正商书香华府，带阳台，可短租可月付，随时看,正商书香华府,面积：26.00㎡,"['楼层：26/27层', '朝向：南', '户型：5室1厅1厨2卫']",风格：纽约故事,入住时间：立即入住,飘窗,地址：郑东新区明理路与姚桥路交汇处向东800米路北,1130
郑东新区,龙翔嘉苑 楼层好 郑大一附院附近 临近北龙湖,龙翔嘉苑4号院,面积：13.00㎡,"['楼层：19/20层', '朝向：东南', '户型：4室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：郑州市金水区龙北二路与龙翼五街交叉口,730
二七区,二七万达朝南精装阳台房 家电齐全 押一付一,万千世纪城,面积：20.00㎡,"['楼层：13/32层', '朝向：东南', '户型：3室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,960
二七区,二七万达旁临近二院，朝南带飘窗，家电齐全干净卫生，可月付,万千世纪城,面积：18.00㎡,"['楼层：5/34层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,800
二七区,二七万达旁临近二院，朝南大飘窗，家电齐全干净卫生，可月付,万千世纪城,面积：23.00㎡,"['楼层：5/34层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,980
二七区,二七万达旁临近二院，温馨单间，家电齐全干净卫生，可月付,万千世纪城,面积：16.00㎡,"['楼层：31/34层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,800
金水区,家具家电齐全，装修精美，交通便利，周围商业圈丰富,白庙小区,面积：15.00㎡,"['楼层：5/31层', '朝向：南', '户型：3室1厅1厨1卫']",风格：,入住时间：立即入住,,地址：金水区东风路与文博西路交汇处,930
金水区,【悦如公寓】CBD 民航路地铁口 曼哈顿购物广场 全新家电精装修,银基王朝四期,面积：28.00㎡,"['楼层：3/32层', '朝向：东南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,,地址：金水区福元路与英协路交叉口向西200米路西,1280
金水区,七中新校 三全路 柳林地铁口 阳台 温馨舒适,风雅颂天骄学府南区,面积：11.88㎡,"['楼层：5/7层', '朝向：南', '户型：4室1厅1厨1卫']",风格：阳光橙,入住时间：立即入住,飘窗,地址：金水区花园路与新柳路交叉口100米路南,880
金水区,悦如公寓、曼哈顿旁、BRT公交在门口,祭城实业家属院,面积：23.00㎡,"['楼层：9/12层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,,地址：未来路与福元路交叉口向南300米路西,1280
中原区,【碧沙岗地铁口】月季公园，碧沙岗公园之间【丹尼斯】出门就有公交车,蓝雀花园,面积：12.00㎡,"['楼层：2/7层', '朝向：东', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：嵩山路与棉纺路交叉口,900
中原区,正商紫薇里11-2-1103 D房间,正商紫薇里（高层）,面积：10.00㎡,"['楼层：11/14层', '朝向：南', '户型：4室1厅1厨2卫']",风格：卡布奇诺,入住时间：立即入住,,地址：电厂路五龙口南路向南300米,700
中原区,【正商紫薇里】【大学科技园旁、锦艺城一步之遥】【精装全南阳光房】,正商紫薇里（高层）,面积：12.00㎡,"['楼层：12/14层', '朝向：南', '户型：3室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,飘窗,地址：电厂路五龙口南路向南300米,666
中原区,万达广场！朝南大阳台！拎包入住！,罗庄小区,面积：21.00㎡,"['楼层：17/31层', '朝向：南', '户型：5室1厅1厨2卫']",风格：纽约故事,入住时间：立即入住,,地址：中原路与华山路交叉口西南角,1030
高新区,朝南 空间大  拎包入住,谦祥万和城D区,面积：15.00㎡,"['楼层：0/34层', '朝向：南', '户型：3室1厅1厨1卫']",风格：普通,入住时间：立即入住,飘窗,地址：长椿路与莲花街交汇处北100米,830
高新区,地铁首站 谦祥万和城 温馨次卧 精装修 家电全齐,谦祥万和城D区,面积：12.00㎡,"['楼层：12/34层', '朝向：东南', '户型：4室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：长椿路与莲花街交汇处北100米,730
高新区,【悦如公寓】【精装全齐】家具家电全齐 可月付,谦祥万和城D区,面积：0㎡,"['楼层：17/34层', '朝向：南', '户型：3室1厅1厨1卫']",风格：,入住时间：立即入住,,地址：长椿路与莲花街交汇处北100米,800
高新区,朝北带阳台！工大东门！863，威科姆对面,东史马中区,面积：14.00㎡,"['楼层：7/28层', '朝向：南', '户型：4室1厅1厨2卫']",风格：阳光橙,入住时间：立即入住,,地址：雪松路白桦街交汇处,860
郑东新区,龙翔嘉苑 独立阳台 郑大一附院东院旁 景色无限,龙翔嘉苑4号院,面积：18.00㎡,"['楼层：19/20层', '朝向：东南', '户型：4室1厅1厨1卫']",风格：普通,入住时间：立即入住,飘窗,地址：郑州市金水区龙北二路与龙翼五街交叉口,830
郑东新区,悦如公寓，温馨次卧带阳台,正商书香华府,面积：20.00㎡,"['楼层：3/12层', '朝向：南', '户型：5室1厅1厨2卫']",风格：卡布奇诺,入住时间：立即入住,飘窗,地址：郑东新区明理路与姚桥路交汇处向东800米路北,830
郑东新区,朝北优化间，精装全齐，采光好,陈三桥小区,面积：25.00㎡,"['楼层：6/7层', '朝向：南', '户型：4室1厅1厨1卫']",风格：普通,入住时间：立即入住,飘窗,地址： 郑州市金水区陈三桥社区 西苑,780
郑东新区,磨李社区 博学路 河职 龙子湖大学城 温馨次卧 精装可月付,磨李社区,面积：17.00㎡,"['楼层：6/26层', '朝向：南', '户型：4室1厅1厨1卫']",风格：青春派,入住时间：立即入住,飘窗,地址：博学路与姚桥路交叉口磨李社区,945
二七区,二七万达 航海路二院地铁口 朝南主卧独卫 采光好,万千世纪城,面积：26.00㎡,"['楼层：33/34层', '朝向：西南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,1230
二七区,悦如公寓 精装全齐 随时看房,江南戎居,面积：15.00㎡,"['楼层：1/26层', '朝向：南', '户型：5室1厅1厨2卫']",风格：阳光橙,入住时间：立即入住,,地址：长江路大学路交叉口往东400米路南,630
二七区,悦如公寓   精装修 家具家电齐全  交通便利,鑫苑国际城市花园,面积：145.00㎡,"['楼层：3/5层', '朝向：南', '户型：4室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：二七区棉纺路与嵩山路交叉口东300米路北,3500
